sample_name	index	round	extraction_kit	extraction_kit_round	extraction_kit_id	extraction_vendor	bead_beating	incubation	biomass_plate	biomass_sample	storage_solution	swab_type	sample_number	sample_technical_replicate	sample_type	sample_type_1	sample_type_2	sample_type_3	unique_sample_id	collection_timestamp	description	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fresh_frozen	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	sex	latitude	longitude	physical_specimen_location	physical_specimen_remaining	dna_extracted	gdna_well_id	dna_conc_ng_ul	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	scientific_name	taxon_id	title
12201.be.k.A.2.2.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.2	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	A8	18.356	9.22	0.031	0.019	0.613	1.9	0.01	0.045	0.042	0.04	0.039	0.085	0.07	0.059	0.048	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.2.3.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.3	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	B8	15.366	12.97	0.029	0.016	0.552	2.286	0.007	0.045	0.042	0.04	0.039	0.079	0.063	0.052	0.044	12201	indoor metagenome	1256227	Knight sample set for testing
12201.BLANK.B4.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.B4	2019	BLANK.B4.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.B4.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	B4	14.341	6.02	0.026	0.015	0.577	3	0.005	0.045	0.042	0.04	0.039	0.076	0.062	0.05	0.044	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C4.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C4	2019	BLANK.C4.standard.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C4.standard.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	C4	9.263	18.3	0.018	0.01	0.556	2	0.005	0.045	0.042	0.04	0.039	0.064	0.053	0.046	0.04	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C7.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C7	2019	BLANK.C7.standard.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C7.standard.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	C7	22.583	47.76	0.046	0.023	0.5	1.353	0.017	0.045	0.042	0.04	0.039	0.194	0.168	0.16	0.142	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C8.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C8	2019	BLANK.C8.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C8.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	C8	15.438	6.16	0.027	0.016	0.593	2	0.008	0.045	0.042	0.04	0.039	0.075	0.061	0.051	0.042	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.D10.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.D10	2019	BLANK.D10.standard.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.D10.standard.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	D10	19.523	5.75	0.03	0.02	0.667	1.818	0.011	0.045	0.042	0.04	0.039	0.098	0.085	0.074	0.062	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.E6.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.E6	2019	BLANK.E6.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.E6.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	E6	14.43	5.66	0.029	0.015	0.517	2.5	0.006	0.045	0.042	0.04	0.039	0.083	0.066	0.055	0.048	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.G1.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.G1	2019	BLANK.G1.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.G1.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	G1	15.87	7.13	0.028	0.016	0.571	2	0.008	0.045	0.042	0.04	0.039	0.078	0.063	0.053	0.044	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H1.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H1	2019	BLANK.H1.standard.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H1.standard.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H1	11.76	7.23	0.022	0.012	0.545	2	0.006	0.045	0.042	0.04	0.039	0.068	0.055	0.047	0.04	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H7.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H7	2019	BLANK.H7.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H7.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H7	14.967	15.99	0.028	0.015	0.536	2.143	0.007	0.045	0.042	0.04	0.039	0.078	0.062	0.052	0.044	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H9.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H9	2019	BLANK.H9.standard.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H9.standard.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H9	13.898	5.19	0.027	0.014	0.519	2	0.007	0.045	0.042	0.04	0.039	0.074	0.058	0.049	0.041	12201	metagenome	256318	Knight sample set for testing
12201.BLANK2.2H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	not provided	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK2.2H	2019	BLANK2.2H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK2.2H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H2	not applicable	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	12201	metagenome	256318	Knight sample set for testing
12201.food.kimchi.1.1.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.1	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	C11	16.424	51.24	0.024	0.017	0.708	1.889	0.009	0.045	0.042	0.04	0.039	0.072	0.062	0.052	0.042	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.1.2.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.2	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	D11	14.377	64.27	0.023	0.015	0.652	1.667	0.009	0.045	0.042	0.04	0.039	0.086	0.075	0.067	0.057	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.1.3.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.3	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	E11	13.427	73.37	0.026	0.014	0.538	1.75	0.008	0.045	0.042	0.04	0.039	0.076	0.061	0.053	0.044	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.1.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.1	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	F11	13.576	54.17	0.017	0.014	0.824	2	0.007	0.045	0.042	0.04	0.039	0.084	0.078	0.069	0.061	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.2.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.2	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	G11	24.333	54.23	0.038	0.024	0.632	1.412	0.017	0.045	0.042	0.04	0.039	0.115	0.098	0.089	0.071	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.3.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.3	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H11	19.243	50.4	0.028	0.019	0.679	1.9	0.01	0.045	0.042	0.04	0.039	0.075	0.063	0.052	0.041	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.1.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.1	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	E10	148.423	40.59	1.405	0.145	0.103	0.678	0.214	0.045	0.042	0.04	0.039	1.475	0.212	0.279	0.064	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.2.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.2	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	F10	105.875	53.11	0.806	0.103	0.128	0.715	0.144	0.045	0.042	0.04	0.039	0.883	0.177	0.216	0.071	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.3.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.3	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	G10	34.014	66.01	0.193	0.033	0.171	1	0.033	0.045	0.042	0.04	0.039	0.249	0.086	0.084	0.05	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.2.1.standard.H	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	high	high	not applicable	not applicable	2	not applicable	food	not applicable	yogurt	yogurt_container_2	food.yogurt.2.1	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H10	100.084	40.96	0.694	0.096	0.138	0.768	0.125	0.045	0.042	0.04	0.039	0.776	0.175	0.202	0.076	12201	food fermentation metagenome	1154581	Knight sample set for testing
